id,judul_laporan,tanggal_kejadian,alamat,kelurahan_desa,kecamatan,kab_kota,provinsi,keterangan,kategori,status
00085,Belum Terdaftar di DPT,2010-03-29 06:13,"Duren Sawit, East Jakarta City, Jakarta, Indonesia",,Duren Sawit,,Jakarta,"Nama: Yogi Subandra Dwitama\nAlamat: Pondok Kelapa, Jakarta Timur.",DPT,verified
00086,Caleg PAN Bagi-Bagi Sembako,2010-03-28 19:45,"Jalan Bambu Apus Raya, Cipayung, East Jakarta City, Jakarta 13890, Indonesia",,Cipayung,,Jakarta,"Ditemukan dugaan pelanggaran pidana kampanye yang dilakukan oleh H.Anzhar Cakra Wijaya,SH. caleg dari partai PAN untuk DPR RI Dapil Jakarta Timur No Urut 6.\n\nDugaan pelanggaran tersebut berupa pembagian sembako pada warga yang di dalam tiap kantong sembako tersebut terdapat brosur atau informasi mengenai caleg tersebut. Informasi yang ada dalam brosur tersebut berupa gambar diri dan lambang partai.\n\nProses pemberiannya, warga harus mempunyai kupon untuk mendapatkan sembako. Kupon tersebut bisa didapat dengan menukar dengan uang sebesar Rp 5 ribu.\n\nPembagian sembako diadakan di markas PAN yang berada di jalan raya Bambu Apus Cipayung Jakarta Timur.\n\nDugaan pelanggaran ditemukan pada hari Sabtu, 29 Maret 2014.",Dugaan Tindak Pidana Pemilu,verified
00087,Kampanye Gerindra Menyisakan Sampah,2010-03-28 20:06,"Ciracas, East Jakarta City, Jakarta, Indonesia",,Ciracas,,Jakarta,"kampanye Partai Gerindra yang dilaksanakan di GOR Ciracas, atau tepatnya di jalan raya Bogor, ciracas, Hakarta Timur menyisakan banyak sampah.\n\nKampanye yang melibatkan banyak massa tersebut, menyisakan sampah berupa botol plastik dan juga kerdus sisa makanan.\n\npetugas kebersihan pun nampak bekerja ekstra karena sampah yang begitu banyak berserakan.",Lain - Lain,verified
00088,Kampanye Gerindra Libatkan Anak-anak,2010-03-28 19:20,"Ciracas, East Jakarta City, Jakarta, Indonesia",,Ciracas,,Jakarta,"Ditemukan dugaan pelanggaran kampanye yang dilakukan oleh Caleg DPRD DKI Jakarta dari Partai gerindra dengan nama SYARIF,M.Si nomor urut 4.\n\nDugaan pelanggaran berupa penggalangan massa untuk kampanye terbuka. Namun dalam kampanye terbuka tersebut melibatkan anak-anak.\n\nLokasi Kampanye tersebut di GOR Ciracas, tepatnya Jalan Raya Bogor, Ciracas, Jakarta Timur, pada tanggal 29 Maret 2014.","Dugaan Tindak Pidana Pemilu,Dugaan Pelanggaran Administratif",verified
00089,Caleg Bagi-bagi Hadiah,2010-03-28 19:15,"Jalan Kalibata Timur, South Jakarta City, Jakarta, Indonesia",,Kalibata,,Jakarta,"caleg DPRD DKI jakarta bernama KELIK WIRAWAN WW.S.Sos nomor urut 11 dari partai PDI Perjuangan telah melanggar peraturan KPU mengenai pembagian hadiah untuk para suporternya berupa teh, baju, dan tas.\n\nHal tersebut terjadi di wilayah jalan kalibata, Jakarta Selatan pada 29 Maret 2014.",Dugaan Tindak Pidana Pemilu,verified
00090,Kampanye PDIP Melibatkan Anak-Anak,2010-03-28 18:56,"Jalan Kalibata Timur, South Jakarta City, Jakarta, Indonesia",,Kalibata,,Jakarta,"Ditemukan dugaan pelanggaran kampanye oleh Partai Demokrasi Indonesia Perjuangan (PDI-P) di wilayah Kalibata, Jakarta Selatan.\n\nKampanye yang dilakukan oleh caleg DPRD DKI Jakarta dari partai tersebut dengan nama KELIK WIRAWAN WW.S.Sos nomor urut 11 telah melibatkan anak di bawah umur untuk ikut dalam kampanye.","Dugaan Tindak Pidana Pemilu,Dugaan Pelanggaran Administratif",verified
00091,Alat Peraga di Dalam Kampus UNJ,2010-03-26 19:01,"Universitas Negeri Jakarta, Rawamangun, Pulogadung, East Jakarta City, Jakarta 13220, Indonesia",Rawamangun,Pulogadung,,Jakarta,"Ditemukan dugaan pelanggaran tindak pidana pemilu karena melakukan kampanye di dalam kampus.\n\nLokasi kampanye tepatnya di dalam kawasan kampus Universitas Negeri Jakarta, Universitas Negeri Jakarta, Rawamangun, Pulogadung, East Jakarta City, Jakarta 13220, Indonesia.\n\nKampanye dilakukan dengan memasang alat peraga. Informasi yang ada dalam alat peraga tersebut adalah foto, lambang partai dan juga informasi nomor urut caleg yaitu Tolhah Nokin, Caleg DPRD DKI dari Partai Keadilan Sejahtera nomor urut 2.",Dugaan Tindak Pidana Pemilu,verified
00092,Belum Terdaftar dalam DPT,2010-03-26 14:01,"Karet Tengsin, Tanah Abang, Central Jakarta City, Jakarta, Indonesia",Karet Tengsin,Tanah Abang,,Jakarta,"Nama: Vonny Wibowo\nAlamat: Karet Tengsin, Tanah Abang, Central Jakarta City, Jakarta, Indonesia.",DPT,verified
00093,Pembatalan Pendamping Orang Tua Dalam Pileg 9 April 2014,2014-09-04 18:14,"SDN Jatisarono, Jati Sarono, Nanggulan, Kulon Progo 55671, Indonesia",Jatisarono,Nanggulan,Kulon Progo,DI Yogyakarta,"Saya dari TPS 7 Dusun Bejaten, Jatisarono, Nanggulan, kulon progo, yogyakarta.\n\nSaya memiliki orang tua sudah lanjut yang memiliki hak memilih dan memiliki hak untuk didampingi, dan orang tua saya telah menunjuk saya (anak) untuk mendampingi pencoblosan.\n\nSaya sudah mengisi dan menanda tangani surat pernyataan tersebut dari panitia.\n\nNamun setelah orang tua saya dipanggil kenapa justru saya tidak diperbolehkan mendampingi oleh panitia, dan tiba-tiba dari pihak panitia yang mendampingi orang tua saya tanpa persetujuan orang tua saya.\n\nSelain itu perlu jadi catatan sebelum orang tua saya telah ada beberapa orang tua lanjut usia yang diperbolehkan oleh Panitia untuk mendampingi orang tuanya. Semoga ini bukan misi terselubung sebuah partai untuk menggiring massa.",Dugaan Tindak Pidana Pemilu,verified
00094,Masih Banyak Poster dari Banyak Partai,2014-09-04 17:54,"Bambu Apus, Pamulang, South Tangerang City, Banten, Indonesia",Bambu Apus,Pamulang,Kota Tangerang,Banten,"Masih terpampang banyak poster dari berbagai partai untuk mengampanyekan diri para caleg. Partai tersebut terdiri dari Hanura, Demokrat, dan PKS.\n\nKebijakannya, seharusnya atribut-atribut yang dipakai untuk kampanye tersebut tidak boleh di pasang di mana pun sejak masa tenang, 7 April 2014.\n\nNamun, beberapa partai masih saja melanggar dengan adanya pemasangan poster di daerah Bambu Apus, Tangerang Selatan ini.\n\nFoto diambil pada 14.22 WIB, Rabu, 9 April 2014.",Dugaan Pelanggaran Administratif,verified
00095,"Di Hari Pemilihan, Bendera Parpol Masih Berkibar di Tiang Listrik",2014-09-04 16:29,"Jalan Cipinang Jaya IIE, Kelurahan Cipinang Besar Selatan, Kecamatan Jatinegara, Jakarta Timur",Cipinang Besar Selatan,Jatinegara,,Jakarta,"Di hari pemilihan umum atau pada 9 April 2014, bendera-bendera dari PKS dan PKB masih berkibar tinggi di tiang-tiang listrik sepanjang Jalan Cipinang Jaya IIE, Kelurahan Cipinang Besar Selatan, Kecamatan Jatinegara, Jakarta Timur.",Dugaan Pelanggaran Administratif,verified
00096,Dugaan Pelanggaran Peraturan KPU No 15 Tahun 2013 Pasal 17,2014-09-04 11:39,"Cipinang Muara, Jatinegara, East Jakarta City, Jakarta, Indonesia",Cipinang Muara,Jatinegara,,Jakarta,"Ditemukan dugaan kesengajaan pembiaran (tidak dicopotnya) spanduk atau atribut kampanye Calon Anggota DPD DKI yang bertentangan dengan Peraturan KPU No. 15 Tahun 2013 Pasal 17 (2).\n\nLokasi spanduk terikat di pagar KSBI Cipinang Muara, yang bersebrangan dengan TPS no. 014 Cipinang Muara, Jakarta Timur.\n\nsaya melihat saat berangkat dan pulang dari TPS 014 pukul 11.45 WIB (9 April 2014).",Dugaan Pelanggaran Administratif,verified
00097,"Permainan kecurangan di TPS, laporan dari daerah terpencil di Garut",2014-09-04 14:47,"kecamatan banjarwangi, garut",,Banjarwangi,Garut,Jawa Barat,"Saya tinggal di daerah terpencil di Banjarwangi, Garut Selatan. Kebetulan dari desa saya terdapat 3 orang warganya yang menjadi calon anggota legislatif kabupaten Garut.\n\nSeperti biasa politik uang tidak bisa dihindai disini, siapa yang banyak uang dialah yang menang. Uang dari para calon disalurkan kepada tim sukses masing masing dan tim sukses itu rata rata merupakan anggota atau bahkan ketua panitia pemungutan suara (KPPS).\n\nUntuk meluluskan calon yang mereka usung mereka bermain di setiap TPS dengan cara tidak membagikan surat panggilan kepada warga yang masih berada di perantauan atau bahkan mengambil kembali surat panggilan milik dari warga yang berhalangan menghadiri dengan alasan sakit atau lain lain. Dengan surat panggilan itu para anggota tim sukses mencoblos calon mereka agar uang yang sudah dititipkan kepada mereka menjadi milik mereka sendiri dan tidak usah dibagikan kepada masyarakat.\n\nMereka adalah orang orang sangat bependidikan dari akademisi atau bahkan para tokoh masyarakat dan orang2 penting lainnya.\n\nSaya bingung harus melapor kemana, karena disini semua orang pasti menganggapnya hal biasa, termasuk polisi yang sudah mendapat uang pelicin dari para calon itu sendiri. mungkin disini saya akan didengar. Terimakasih",Dugaan Tindak Pidana Pemilu,verified
00098,Seorang warga Cengkareng kecewa hak pilihnya ditolak,2014-09-04 14:28,cengkareng barat,Cengkareng Barat,Cengkareng,,Jakarta,"Hak pilih saya ditolak. Saya ber-KTP Jaksel dan ibu ber-KTP Jakpus. Saya dan ibu ditolak oleh petugas di TPS 17, tempat saya tinggal. Saya tinggal di RT.005 RW.03 Cengkareng Barat.\n\nAlasan penolakan adalah tidak terdaftar. Padahal saya memiliki KTP DKI. Petugas bersikukuh bahwa kami bisa menggunakan hak pilih sesuai dengan domisili di KTP. Jelas, ibu saya sudah ber KTP sesuai TPS. Selain itu, saya sudah tinggal di situ sudah lebih dari 4 tahun, hanya saja KTP saya masih Jakarta Selatan.",Dugaan Tindak Pidana Pemilu,verified
00099,Caleg memakai baju partai dan marah-marah di TPS,2014-09-04 13:49,tps 12 dapil 4 kelurahan sorek satu kec pangkalan kuras kab pelalawan riau,Sorek Satu,Pangkalan Kuras,Pelalawan,Riau,"Seorang caleg datang ke lokasi Tempat Pemungutan Suara (TPS) dan marah-marah di lokasi TPS, memprotes pemilih yang memiliki kartu pemilih. Hal ini seharusnya menjadi tugas panitia, panwaslu dan KPU setempat.\n\nIni sangat tidak mencerminkan seorang calon legislatif. Caleg masuk dan mencampuri proses pemilihan...memakai atribut parpol serta mengintimidasi dan menakuti pemilih yang menurutnya tidak layak padahal memiliki kartu pemilih. Beliau adalah seorang ibu, caleg Kabupaten Pelalawan, Riau, dapil Sorek Satu. Lokasi kejadian di TPS 12 Dapil 4 kelurahan Sorek Satu, kecamatan pangkalan kuras, Kabupaten Pelalawan, Riau.",Dugaan Tindak Pidana Pemilu,verified
00100,Punya KK dan KTP tetap tapi tidak dapat surat undangan mencoblos,2014-09-04 12:38,jakarta selatan,,,,Jakarta,"Adek saya masih terdaftar di kartu keluarga ibu bapak dan KTP juga masih tetap sama tidak berubah, tetapi dia tidak mendapat surat undangan untuk mencoblos. Saya dapat info bahwa bisa mencoblos jika membawa poto copy KTP dan KK, tetapi setelah datang ke TPS 26 Cipedak gang Family, Jagakarsa Jaksel, ditolak dan katanya harus ke kelurahan. Apakah ini salah panitia pemilu yang tidak mencatatkan adek saya sebagai pemilih. Dan bagaimana solusinya jika seperti ini? Berarti tergantung perorangan si pencatat jika seseorang bisa mengikuti pemilu atau tidak, bukan hak tiap warga negara yang sudah memenuhi syarat untuk memilih.",Dugaan Tindak Pidana Pemilu,verified
00101,Serangan Fajar H-1 berupa Uang Rp 30.000 /orang,2014-09-04 12:36,Jombang - Jawa Timur,,,Jombang,Jawa Timur,"Saya Mahasiswa Universitas Negeri Malang asal Jombang-Jawa Timur. Menjelang pemilihan legislatif 9 April 2014, saya pulang kampung. Di rumah sudah ada amplop berisi uang Rp 30.000 + seruan memilih salah satu calon.\n\nSetelah saya tanya ibu, ternyata semua orang di desa mendapatkan hal yang sama. Bahkan ada yang dapat Rp 100.000 per orang. Amplop tersebut atas nama STSN, Caleg DPRD Kab Jombang dari Partai Demokrat.",Dugaan Tindak Pidana Pemilu,verified
00102,Hak pilih hilang warga Mimika hilang,2014-09-04 12:12,"TPS 61,kel.koperapoka,kec.Mimika baru.kab.Mimika-timika papua.",Koperapoka,Mimika Baru,Mimika-Timika,Papua,"Saya ditolak panitia di TPS karena tidak mendapat undangan, meski saya telah menunjukkan KTP. Padahal saya sudah terdaftar sebagai DPT KPU. Alasan Ketua TPS, dia tidak mengerti internet. Akhirnya saya kehilangan hak pilih. Inikah pesta demokrasi pemilu? Pemilihan sekarang sangat kacau.\n\nLokasi: TPS 61 kelurahan koperapoke, kecamatan Mimika baru, Kabupaten Mimika-Timika, Papua.",Dugaan Pelanggaran Administratif,verified
00103,Lebih dari Satu Poster PDI-P Masih Terpasang,2014-09-04 11:34,"South Tangerang, South Tangerang City, Banten, Indonesia",,,Tangerang Selatan,Banten,"Rupanya PDI-P masih terindikasi melakukan dugaan pelanggaran kampanye. Hal tersebut dikarenakan masih banyaknya poster kampanye untuk caleg DPRD Kota Tngerang Selatan.\n\nTerlihat satu poster untuk caleg bernama Iwan Rahayu terpasang di tiang listrik dan dua poster dari partai yang sama, PDI-P dipasang bersebelahan. Pemasangan tersebut ditemukan di Pamulang, Tangerang Selatan.\n\nDalam aturan yang ada, semua alat peraga seharusnya sudah dicopot di masa tenang dan hari pencoblosan. Namun sampai dengan tanggal 9 April 2014 alat peraga ini masih saja terpasang.",Dugaan Pelanggaran Administratif,verified
00104,Poster dari PDI-P Masih Terpasang,2014-09-04 11:34,"Jalan Pamulang Permai, Pamulang, South Tangerang City, Banten 15417, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Ditemukan dugaan pelanggaran pemilu yang dilakukan oleh PDI-P.\n\nPelanggaran tersebut berupa pemasangan poster yang terpasang di pohon pada masa tenang dan hari pencoblosan.\n\nPoster dapat ditemukan di Pamulang, Tangerang Selatan. Saat memasuki portal Perumahan AX di Jl. Pamulang Permai, dapat terlihat poster yang dimaksud di sebelah kanan.\n\nSampai tanggal 9 April 2014 alat peraga tersebut masih terpasang.",Dugaan Pelanggaran Administratif,verified
00105,Poster dari PKS Masih Terpasang di Pamulang,2014-09-04 11:21,"South Tangerang, South Tangerang City, Banten, Indonesia",,,Tangerang Selatan,Banten,"Poster caleg DPRD Kota Tangerang Selatan dari PKS dengan nomor urut 3 masing terlihat di Perumahan Griya Jakarta, Pamulang, Tangerang Selatan.\n\nPoster terpasang di salah satu pohon jalan utama perumahan.\n\nSejak masa tenang 7 April 2014, semua partai tidak boleh berkampanye dalam bentuk apapun, terutama pemasangan atribut-atribut seperti poster.\n\nNamun poster tersebut masih terpasang sampai tanggal 9 April 2014.",Dugaan Pelanggaran Administratif,verified
00106,Demokrat Masih Pasang Poster,2014-09-04 11:14,"South Tangerang, South Tangerang City, Banten, Indonesia",,,Tangerang Selatan,Banten,"Caleg DPRD Kota Tangerang Selatan Dapil 6 dari Partai Demokrat memohon doa dan dukungan warga lewat poster.\n\nPoster tersebut dipasang di tiang listrik depan Kelompok Bermain Taman Kanan-Kanak Mitra Mulia, Perumahan di Jl. Pamulang Permai Blok AX . Pamulang, Tangerang Selatan.\n\nMasih terpasangnya poster tersebut merupakan indikasi dugaan pelanggaran karena partai tidak boleh lagi memasang atribut kampanye sejak masa tenang.\n\nSampai dengan 9 April 2014 alat peraga tersebut masih terpasang.",Dugaan Pelanggaran Administratif,verified
00107,Poster PAN Masih Ada Pada Hari Pemilu,2014-09-04 11:08,"South Tangerang, South Tangerang City, Banten, Indonesia",,,Tangerang Selatan,Banten,"Ditemukan dugaan pelanggaran yang dilakukan oleh H. Al masyur, SE. MM, caleg dari PAN dapil pamulang nomor urut 1 yang mempunyai semboyan Indahnya Mengabdi Tanpa Korupsi.\n\nDugaan pelanggaran berupa pemasangan alat peraga di masa tenang dan hari pencoblosan.\n\nAlat peraga dalam bentuk poster tersebut ditemukan di Pamulang, Tangerang Selatan.\n\nSampai dengan tanggal 9 April 2014 alat peraga tersebut masih terpasang.",Dugaan Pelanggaran Administratif,verified
00108,PDIP Masih Mejeng Poster,2014-09-04 11:02,"South Tangerang, South Tangerang City, Banten, Indonesia",,,Tangerang Selatan,Banten,"Ditemukan dugaan pelanggaran pemilu oleh Ir Franklin, Caleg DPRD Provinsi Banten Dapil Tangerang Selatan dari PDI Perjuangan.\n\nDugaan pelanggaran berupa pemasangan alat peraga dalam bentuk poster di masa tenang dan hari pencoblosan.\n\nDugaan pelanggaran ditemukan di Pamulang, Tangerang Selatan.\n\nSampai pada hari pemilihan caleg yang berlangsung hari ini alat peraga tersebut masih terpasang dan belum diturunkan.",Dugaan Pelanggaran Administratif,verified
00109,Serangan Fajar Beberapa Caleg,2014-09-04 11:05,Jagalan Utara Kec.Purwodadi Kab.Grobogan Jawa Tengah,Jagalan Utara,Purwodadi,Grobogan,Jawa Tengah,"Telah ditemukan dugaan pelanggaran pemilu berupa serangan fajar pada tanggal 9 April 2014 di daerah Jagalan Utara kecamatan Purwodadi kabupaten Grobogan, Jawa Tengah. Serangan fajar tersebut berupa pembagian amplop berisi uang sebesar Rp 20.000,- dan kartu nama caleg yang membagikan. Caleg yang membagikan tidak hanya berasal dari satu parpol.",Dugaan Tindak Pidana Pemilu,verified
00110,Bentuk Kampanye dari Gerindra,2014-09-04 10:48,"South Tangerang, South Tangerang City, Banten, Indonesia",,,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran yan dilakukan oleh Partai Gerindra. Sampai hari ini poster kampanye untuk caleg DPR bernomor urut 2 masih terpasang di Kota Tangerang Selatan, tepatnya di belakang superindo Pamulang, Padahal, poster dan segala bentuk atribut kampanye dari semua partai sudah harus dilepas sejak masa tenang.",Dugaan Pelanggaran Administratif,verified
00111,Caleg membiayai panitia PPS di Jakarta Timur,2014-09-04 10:45,jakarta timur,,,,Jakarta,"Saya ingin melaporkan salah satu kecurangan yang dilakukan oleh Panitia Penyelenggara Pemungutan Suara (PPS). Ternyata panitia pemungutan suara itu di bayar oleh salah satu calon anggota legislatif untuk memilih calon anggota legislatifnya. Tolong Bawaslu menindak lanjuti permasalahan ini supaya tidak ada lagi kecurangan dimasa pemilu.\n\nKejadian ini terjadi di TPS 26 dan 27 Kelurahan Batu Ampar, Kecamatan Kramat Jati Jakarta Timur.",Dugaan Tindak Pidana Pemilu,verified
00112,"Juardi, SE dari Gerindra Diduga Melanggar",2014-09-04 10:22,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560, Indonesia",,Pasar Kemis,Tangerang,Banten,"Stiker Caleg dari Gerinda ini masih setia nangkring di tiang listrik. Padahal, hari ini, Rabu, 9 April 2014 berlangsung Pemilu Legislatif. Seharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu. Dugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang.",Dugaan Pelanggaran Administratif,verified
00113,Kepala Desa Tidak Netral,2014-09-04 10:21,Ds. Pabedilan Wetan Kec. Pabedilan Kab. Cirebon,Pabedilan Wetan,Pabedilan,Cirebon,Jawa Barat,"Di desa saya terjadi sebuah pelanggaran dimana Kepala Desa mengumpulkan Ketua RT untuk memilih PKS. Setiap Ketua RT diberi uang kurang lebih Rp 50.000-, untuk dibagi - bagikan kepada warga. Ini terjadi bukan hanya di desa saya tetapi di beberapa desa di Kota Cirebon. Saya berharap masalah ini dapat tindak lanjuti. Sehingga kedepannya Pemilu di Indonesia dapat bersih dari Politik Uang.\n\nLokasi: Kecamatan Pabedilan, Kabupaten Cirebon.",Dugaan Tindak Pidana Pemilu,verified
00114,Dua Caleg Dmokrat Diduga Melanggar,2014-09-04 10:10,"Tangerang, Tangerang City, Banten, Indonesia",,,Kota Tangerang,Banten,"Stiker Caleg Demokrat ini masih setia nangkring di tiang listrik. Padahal, hari ini berlangsung Pemilu Legislatif. Seharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu. Dugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang.",Dugaan Pelanggaran Administratif,verified
00115,Stiker PAN di Tiang Listrik,2014-09-04 10:08,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560, Indonesia",,Pasar Kemis,Tangerang,Banten,"Stiker Caleg PAN ini masih setia nangkring di tiang listrik. Padahal, hari ini berlangsung Pemilu Legislatif. Seharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu. Dugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang.",Dugaan Pelanggaran Administratif,verified
00116,"Sultoni, ABA, Caleg PKS Diduga Melanggar",2014-09-04 10:05,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560, Indonesia",,Pasar Kemis,Tangerang,Banten,"Masih ditemukan stiker caleg PKS di tiang listrik ini. Padahal, hari ini (9/4/2014) berlangsung Pemilu Legislatif.\n\nSeharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu.\n\nDugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang.",Dugaan Pelanggaran Administratif,verified
00117,Stiker PKS di Tiang Listrik,2014-09-04 10:00,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560, Indonesia",,Pasar Kemis,Tangerang,Banten,"Stiker PKS ini masih setia nangkring di tiang listrik. Padahal, hari ini (9/4/42014) berlangsung Pemilu Legislatif.\n\nSeharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu.\n\nDugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang.",Dugaan Pelanggaran Administratif,verified
00118,Slamet Daryono Diduga Melakukan Pelanggaran,2014-09-04 09:57,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560, Indonesia",,Pasar Kemis,Tangerang,Banten,"Alat kampanye dari Caleg PAN ini masih setia nangkring di tiang listrik.\n\nPadahal, hari ini (9/4/2014) berlangsung Pemilu Legislatif.\n\nSeharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu.\n\nDugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang.",Dugaan Pelanggaran Administratif,verified
00119,Caleg PDI-P Masih Nangkring di Tiang Listrik,2014-09-04 09:46,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560, Indonesia",,Pasar Kemis,Tangerang,Banten,"Caleg PDI-P ini masih setia nangkring di tiang listrik.\n\nPadahal, hari ini (9/4/2014) berlangsung Pemilu Legislatif.\n\nSeharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu.\n\nDugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang.",Dugaan Pelanggaran Administratif,verified
00120,Baliho Caleg PAN Masih Terpasang di Tiang Listrik,2014-09-04 09:20,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560, Indonesia",,Pasar Kemis,Tangerang,Banten,"Hari ini Rabu, 9 April 2014 adalah Hari Pencoblosan dalam Pemilu 2014. Seharusnya, baliho Caleg PAN ini sudah tidak ada.\n\nNamun, pelapor menemukan masih ada baliho yang terpasang di salah satu tiang listrik yang ada di Perumahan Dasana Indah blok sg 2 / 17, Tangerang - Bonang.",Dugaan Pelanggaran Administratif,verified
00121,TPS di Pamulang Barat tak siap dan rawan disalahgunakan,2014-09-04 09:19,Pamulang Barat,,Pamulang,Tangerang Selatan,Banten,"TPS 46 yang berlokasi di belakang Perumahan Griya Jakarta, di lapangan RT 02 Kelurahan Pamulang Barat, Tangerang Selatan, tidak siap. Seharusnya TPS sudah bisa mengadakan pemungutan suara pukul 07.00 WIB, namun sampai pukul 09.00 WIB, TPS tersebut belum bisa menerima warga untuk memilih. Warga juga mengeluhkan, undangan memilih tidak disebarkan oleh Ketua RT. Warga harus datang ke TPS untuk mengambil undangan memilih sekaligus mencoblos saat itu juga. Cara seperti rawan kecurangan, karena warga sekitar merasa tidak diundang sehingga tidak datang mencoblos, lalu kertas suaranya dicoblos oleh Ketua RT.",Dugaan Pelanggaran Pidana,verified
00122,Pembagi-bagian Uang Oleh Ketua RT Untuk Memilih PKS.,2014-09-04 07:35,"RT.05 RW. 01 Kelurahan Beji Timur, Kecamatan Beji, Kota Depok, Jawa Barat",Beji Timur,Beji,Depok,Jawa Barat,"Pada hari senin, 7 April 2014 tante saya dan keluarganya mendapat uang sebesar Rp 50.000 per orang yang diberikan oleh seorang ketua RT di RW.01, Kelurahan Beji Timur, Kecamatan Beji, Kota Depok, Jawa Barat.\n\nPemberian uang tersebut secara eksplisit dilakukan oleh ketua RT kepada keluarga tante saya dan warga lainnya di kawasan RT tersebut dengan tujuan mengajak mereka untuk menyoblos Partai Keadilan Sejahtera.\n\nTolong untuk bawaslu segera mengusut kasus ini. Terima kasih.",Dugaan Tindak Pidana Pemilu,verified
00123,Bagi bagi duit di Kebumen,2014-09-04 07:20,"Kembangsawit, Ambal, Kebumen, Central Java, Indonesia",Kembangsawit,Ambal,Kebumen,Jawa Tengah,"Di desaku, di kembang sawit, Ambal, Kebumen, pagi2 ada yang ketok pintu ternyata ada suruhan caleg untuk membagi uang dan gambar. Ditelusuri aja ya pak Bawaslu kalau memang berani dan pengen negara ini benar.",Dugaan Tindak Pidana Pemilu,verified
00124,Masa Tenang di Atas Pohon Bersama,2014-08-04 17:59,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran pada masa tenang oleh caleg DPR RI bernama H. Jazuli Juwaini, MA nomor urut 1 dari PKS dapil Banten; caleg DPRD Tangsel dapil VI Pamulang nomor urut 10 bernama Dr. Shinta dari PKS; caleg DPR RI bernama Ir. Sufmi Dasco Ahmad dapil Banten III nomor urut 1 dan Nona Gayatri Nasution, S.Si caleg DPRD Kota Tangsel dapil Tangsel VI nomor urut 2 mereka dari Partai Garindra.\n\nTemuan pelanggaran berupa poster di atas sebuah pohon di pinggir jalan Doktor Setia Budi, Pamulang, Tangsel.\n\nPelanggaran tersebut masih ditemukan dan belum ada tindakan pada 8 April 2014.",Dugaan Pelanggaran Administratif,verified
00125,Pelanggaran di Jalan Doktor Setia Budi,2014-08-04 17:48,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran pada masa tenang oleh caleg DPR RI bernama Leni Indrawati SH, Sp.N., MKn nomor urut 6 dari Pertai NasDem untuk dapil Banten III dan caleg DPRD Prov. Banten bernama H. Veri Muhlis Arifuzzaman, S.Ag., M.Si nomor urut 2 dari Partai Golkar dapil kota tangsel.\n\nTemuan pelanggaran berupa poster di atas tiang listrik depan koto bangunan murah jaya di jalan Doktor Setia Budi, Pamulang, Tangsel.\n\nPelanggaran tersebut masih ditemukan dan belum ada tindakan pada 8 April 2014.",Dugaan Pelanggaran Administratif,verified
00126,Drajat Tetap Kampanye Walau Melanggar,2014-08-04 17:46,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran masa tenang oleh caleg DPRD Kota Tangsel bernama Drajat Sumatsono, SE nomor urut 4 untuk dapil Pamulang dari PDI P.\n\nTemuan pelanggaran tersebut berupa poster di atas tiang listrik pada jalan Doktor Setia Budi, Pamulang, Tangsel.\n\nPelanggaran tersebut masih ditemukan dan belum ada tindakan pada 8 April 2014.",Dugaan Pelanggaran Administratif,verified
